temperature,humidity,season,hour,district_type,is_weekend,consumption
1.2,85,Autumn,8,Residential,0,479.25
24.3,21,Winter,4,Industrial,0,571.82
34.1,54,Winter,12,Industrial,0,689.21
1.0,97,Autumn,22,Commercial,1,649.59
20.6,39,Spring,17,Industrial,0,927.96
8.5,29,Summer,4,Commercial,0,587.13
10.1,44,Summer,15,Residential,0,501.86
9.1,85,Winter,18,Residential,1,564.2
6.4,44,Summer,13,Commercial,1,634.54
15.5,73,Spring,15,Industrial,0,933.41
6.7,52,Summer,14,Commercial,1,677.23
17.7,55,Winter,21,Industrial,1,661.67
14.5,33,Winter,3,Residential,0,306.35
12.6,84,Spring,6,Industrial,0,834.55
5.9,99,Spring,15,Commercial,0,703.55
9.2,73,Summer,23,Commercial,1,757.55
22.6,71,Summer,21,Residential,0,657.61
20.0,22,Winter,20,Industrial,1,581.81
5.2,60,Spring,21,Industrial,0,871.05
16.0,25,Spring,20,Industrial,1,762.37
22.5,44,Spring,7,Residential,0,554.96
-1.7,32,Summer,16,Industrial,0,721.7
20.4,27,Spring,15,Commercial,1,712.02
8.4,40,Winter,22,Industrial,1,609.51
20.7,87,Winter,9,Residential,1,516.33
7.4,44,Summer,9,Industrial,0,738.79
-3.0,98,Autumn,1,Industrial,0,728.31
-1.3,87,Summer,8,Commercial,0,600.06
15.5,64,Autumn,16,Industrial,0,890.9
17.6,79,Spring,10,Commercial,0,683.57
6.0,31,Summer,9,Commercial,0,570.45
21.4,51,Winter,21,Residential,0,451.45
-1.6,32,Spring,16,Commercial,1,587.16
14.3,50,Winter,3,Commercial,0,478.66
2.9,97,Spring,15,Residential,0,556.32
8.5,39,Summer,19,Commercial,0,629.66
15.5,37,Autumn,14,Residential,0,524.26
6.4,79,Spring,20,Industrial,0,840.04
11.2,82,Autumn,4,Residential,1,591.86
25.1,25,Spring,5,Commercial,1,738.34
9.2,51,Winter,16,Residential,1,490.04
23.4,62,Winter,0,Commercial,1,492.42
3.7,21,Spring,18,Industrial,0,762.12
20.3,79,Autumn,3,Residential,0,568.82
29.4,42,Summer,16,Industrial,0,959.88
-9.7,50,Summer,8,Commercial,0,509.27
7.0,24,Winter,23,Commercial,0,579.88
20.8,53,Summer,1,Industrial,0,835.91
13.0,29,Winter,7,Residential,0,300.11
18.7,21,Summer,14,Residential,0,546.43
9.0,30,Spring,6,Commercial,0,543.64
15.9,69,Winter,5,Industrial,0,685.32
13.4,50,Winter,0,Industrial,0,683.57
26.7,75,Spring,14,Residential,0,700.0
17.5,98,Winter,22,Residential,0,439.29
18.4,92,Summer,6,Residential,1,675.21
10.9,28,Summer,16,Industrial,0,783.62
10.1,40,Winter,1,Residential,0,305.59
10.7,92,Summer,8,Residential,1,625.65
18.9,47,Autumn,8,Commercial,0,688.95
10.8,81,Winter,12,Residential,0,433.33
17.9,26,Spring,5,Residential,0,505.92
35.8,99,Autumn,5,Industrial,0,1036.12
23.7,35,Winter,19,Industrial,1,603.97
11.7,23,Spring,19,Commercial,1,636.3
27.0,23,Summer,20,Residential,0,614.35
10.9,59,Spring,2,Commercial,0,663.49
-5.4,36,Autumn,16,Industrial,0,707.64
4.9,71,Summer,16,Commercial,0,608.44
-3.7,71,Winter,11,Industrial,0,780.31
11.5,55,Summer,15,Commercial,0,726.46
15.2,57,Winter,14,Commercial,0,607.82
31.8,69,Winter,12,Residential,0,403.51
18.3,82,Spring,22,Commercial,0,775.68
12.8,82,Spring,0,Residential,0,544.3
23.3,81,Spring,16,Residential,0,645.82
-7.1,26,Autumn,2,Residential,1,339.91
17.4,46,Autumn,14,Residential,0,575.69
22.7,33,Spring,3,Commercial,0,668.96
0.2,90,Autumn,3,Industrial,1,634.21
26.4,24,Summer,17,Industrial,0,929.17
18.4,74,Summer,16,Industrial,0,978.22
10.8,21,Autumn,18,Commercial,0,677.2
21.3,81,Autumn,10,Residential,0,653.12
37.7,40,Summer,19,Industrial,0,1066.98
16.8,98,Winter,2,Commercial,0,590.53
17.5,40,Summer,7,Residential,0,541.5
10.4,29,Summer,13,Industrial,1,725.66
6.5,77,Autumn,0,Residential,0,426.45
23.3,58,Summer,13,Industrial,0,931.38
6.4,24,Autumn,1,Industrial,1,608.77
15.7,84,Autumn,22,Industrial,0,941.97
10.2,32,Spring,3,Residential,1,487.76
19.8,72,Summer,23,Commercial,0,824.01
18.3,64,Winter,18,Residential,1,466.86
25.4,51,Spring,5,Industrial,0,883.68
9.9,55,Autumn,0,Residential,1,502.08
12.3,79,Autumn,16,Commercial,1,756.82
5.2,30,Winter,7,Residential,0,362.25
10.6,82,Autumn,18,Commercial,0,715.98
18.8,40,Summer,20,Commercial,0,729.2
22.6,71,Spring,0,Residential,0,587.42
5.8,74,Autumn,4,Industrial,0,822.07
23.7,45,Autumn,15,Commercial,0,730.0
28.6,87,Winter,5,Residential,0,413.57
19.1,53,Summer,7,Commercial,0,724.46
33.8,71,Autumn,12,Industrial,0,998.41
7.3,71,Winter,15,Residential,0,495.91
2.6,48,Autumn,2,Residential,0,416.98
-2.8,57,Winter,18,Residential,0,447.87
30.0,61,Winter,11,Industrial,0,619.72
21.5,40,Summer,15,Commercial,0,748.87
14.4,61,Autumn,10,Residential,0,545.36
17.8,32,Summer,9,Commercial,0,645.48
3.7,83,Winter,19,Commercial,0,611.79
39.5,36,Spring,3,Industrial,1,928.06
16.3,28,Autumn,11,Residential,0,457.73
16.1,60,Spring,22,Commercial,0,766.23
22.3,20,Autumn,1,Residential,0,506.78
19.8,21,Summer,23,Residential,1,656.81
17.2,79,Summer,21,Industrial,1,851.27
7.1,67,Summer,18,Residential,0,538.1
19.7,48,Summer,4,Residential,0,523.32
33.8,29,Summer,7,Commercial,1,790.42
28.5,77,Spring,6,Industrial,0,982.17
30.9,79,Summer,13,Residential,0,722.23
9.9,40,Winter,23,Commercial,0,593.61
5.1,47,Winter,22,Industrial,0,720.46
13.7,94,Spring,2,Industrial,1,760.88
15.6,53,Autumn,17,Commercial,1,705.1
25.9,27,Winter,15,Commercial,1,490.41
-1.9,78,Autumn,22,Commercial,0,680.56
30.3,91,Spring,18,Commercial,1,890.27
13.4,68,Autumn,18,Commercial,0,696.89
10.7,98,Autumn,17,Residential,0,616.85
4.9,36,Autumn,19,Residential,1,569.6
-1.5,79,Autumn,15,Industrial,0,728.66
23.2,64,Spring,7,Residential,0,668.78
15.7,88,Winter,0,Residential,0,413.06
2.1,51,Summer,16,Residential,1,548.32
2.0,63,Autumn,11,Commercial,0,648.51
11.6,84,Winter,20,Industrial,0,811.98
31.7,27,Winter,10,Industrial,0,613.78
12.4,96,Spring,4,Industrial,1,815.73
-0.0,91,Winter,11,Industrial,1,708.14
12.5,62,Spring,16,Residential,0,589.71
12.3,20,Autumn,5,Residential,0,484.4
-10.0,70,Autumn,0,Commercial,0,442.27
14.5,43,Summer,4,Industrial,1,740.33
12.7,43,Summer,13,Residential,0,512.64
22.0,36,Summer,4,Residential,1,610.15
33.5,24,Winter,21,Commercial,0,506.81
26.3,39,Autumn,23,Commercial,1,813.51
12.3,40,Spring,0,Commercial,1,654.11
3.9,77,Summer,17,Residential,0,473.71
40.0,50,Spring,15,Residential,1,763.33
15.6,30,Spring,8,Commercial,0,593.8
15.1,71,Summer,18,Industrial,0,931.37
14.8,34,Autumn,21,Commercial,0,680.2
17.0,26,Summer,4,Commercial,1,644.97
13.6,47,Spring,1,Commercial,0,629.86
9.3,70,Summer,14,Commercial,0,658.81
9.5,77,Spring,6,Residential,0,541.04
14.7,24,Spring,3,Industrial,0,761.78
9.6,24,Summer,0,Commercial,0,555.67
7.9,27,Winter,12,Industrial,0,679.69
16.1,83,Summer,19,Industrial,1,870.92
12.5,29,Winter,21,Industrial,0,673.73
30.0,57,Spring,6,Commercial,0,825.69
-10.0,27,Spring,14,Residential,0,360.0
25.9,44,Winter,22,Commercial,0,509.42
27.5,92,Spring,13,Industrial,1,938.35
-5.7,85,Winter,22,Industrial,1,737.75
11.6,98,Winter,18,Residential,0,516.78
11.3,69,Spring,21,Commercial,1,691.4
0.9,86,Autumn,23,Industrial,1,797.07
7.2,68,Winter,19,Residential,1,475.36
3.9,55,Summer,23,Industrial,0,798.37
32.5,87,Summer,17,Residential,1,831.53
24.4,97,Spring,9,Residential,0,656.11
27.7,60,Autumn,8,Commercial,0,768.3
22.2,81,Spring,7,Industrial,0,933.77
3.7,29,Autumn,9,Commercial,0,561.43
9.8,40,Winter,16,Industrial,0,704.58
19.9,55,Winter,1,Commercial,0,522.46
2.8,31,Winter,5,Industrial,0,649.07
22.1,21,Winter,4,Commercial,1,462.89
12.6,32,Summer,8,Residential,1,525.6
11.3,72,Summer,4,Industrial,0,788.92
22.1,51,Spring,17,Industrial,1,832.76
19.4,35,Autumn,19,Residential,1,628.74
11.4,51,Winter,8,Commercial,1,522.24
26.6,51,Winter,16,Industrial,0,722.26
4.2,30,Autumn,16,Industrial,0,734.98
21.2,29,Autumn,11,Commercial,1,687.21
20.9,34,Spring,6,Residential,0,543.04
11.9,36,Autumn,2,Commercial,0,610.33
18.3,59,Winter,9,Commercial,0,502.29
2.5,37,Winter,1,Commercial,0,495.55
24.2,74,Winter,2,Industrial,0,660.44
13.2,92,Winter,15,Residential,0,466.44
9.8,44,Winter,1,Residential,0,372.17
25.5,78,Spring,23,Commercial,1,867.1
8.0,97,Winter,9,Industrial,1,722.34
0.9,41,Spring,5,Commercial,0,538.35
-0.6,49,Winter,21,Industrial,1,731.98
21.1,63,Summer,10,Industrial,0,889.48
2.2,51,Summer,22,Industrial,0,759.01
32.5,70,Summer,6,Industrial,1,925.42
-5.8,65,Summer,14,Residential,1,508.02
32.0,40,Spring,5,Industrial,1,814.64
17.1,51,Spring,19,Industrial,0,883.39
14.0,58,Autumn,8,Commercial,1,662.68
9.6,31,Winter,21,Commercial,0,565.59
19.0,66,Summer,19,Residential,1,687.3
14.6,37,Spring,11,Commercial,1,706.66
26.0,40,Winter,18,Industrial,0,676.75
16.1,32,Winter,19,Commercial,0,583.04
16.5,40,Spring,2,Residential,1,550.55
11.4,27,Summer,14,Commercial,0,665.49
14.4,65,Autumn,1,Commercial,0,673.56
18.1,26,Winter,20,Residential,1,494.7
-2.1,42,Autumn,1,Residential,0,305.89
1.5,94,Summer,21,Industrial,1,722.08
22.4,41,Summer,2,Commercial,0,753.65
16.7,41,Autumn,5,Industrial,0,793.1
13.2,48,Summer,14,Commercial,1,663.51
15.2,32,Winter,9,Commercial,0,477.33
18.5,21,Autumn,8,Industrial,0,845.95
9.6,48,Summer,0,Commercial,1,561.2
7.2,98,Autumn,15,Commercial,0,715.27
17.0,71,Winter,5,Commercial,0,534.53
5.2,46,Summer,8,Residential,0,473.7
19.1,69,Winter,3,Industrial,1,580.39
-2.0,98,Summer,1,Residential,1,507.46
25.3,42,Spring,3,Industrial,1,762.26
19.7,63,Summer,0,Industrial,0,920.32
17.6,96,Autumn,18,Commercial,1,799.61
24.8,41,Summer,9,Industrial,0,896.16
31.7,62,Winter,20,Residential,0,459.24
25.1,56,Winter,14,Residential,0,372.2
-3.4,80,Summer,21,Residential,1,586.82
2.2,75,Autumn,18,Industrial,1,709.76
8.8,22,Spring,15,Residential,0,483.55
15.3,82,Autumn,20,Industrial,0,908.22
20.2,38,Spring,23,Residential,1,629.92
7.7,42,Winter,21,Residential,0,444.04
16.9,48,Autumn,3,Industrial,1,758.4
7.4,49,Spring,1,Residential,0,397.22
8.9,58,Summer,12,Commercial,0,646.99
0.9,44,Winter,0,Industrial,0,700.22
5.8,27,Summer,16,Industrial,0,768.9
1.5,77,Winter,12,Industrial,1,668.64
5.2,35,Autumn,3,Commercial,0,538.17
25.5,91,Autumn,6,Industrial,1,942.95
5.5,20,Winter,16,Residential,0,339.59
40.0,24,Winter,8,Residential,0,286.22
19.9,22,Winter,3,Residential,0,261.26
16.8,84,Autumn,18,Industrial,0,971.84
6.4,23,Spring,0,Residential,1,445.49
22.0,83,Summer,9,Industrial,0,941.85
9.2,29,Summer,3,Residential,0,512.17
16.2,40,Autumn,8,Commercial,0,653.8
40.0,65,Summer,12,Commercial,0,967.96
14.0,46,Winter,13,Commercial,0,531.28
26.5,85,Spring,9,Commercial,1,818.49
8.0,60,Summer,5,Industrial,0,853.15
14.7,32,Spring,15,Residential,0,520.77
32.7,28,Winter,5,Commercial,0,405.37
8.7,55,Summer,16,Industrial,1,744.56
33.1,77,Autumn,9,Commercial,0,861.12
22.1,73,Spring,17,Commercial,0,815.31
9.4,31,Winter,21,Industrial,0,707.69
21.3,97,Spring,17,Industrial,0,1050.37
24.7,33,Summer,2,Residential,0,571.8
21.2,53,Summer,19,Residential,0,592.85
-0.7,72,Autumn,20,Commercial,1,636.14
7.7,39,Winter,14,Commercial,0,525.11
12.5,94,Winter,14,Residential,1,524.57
14.3,35,Autumn,3,Residential,0,451.59
21.2,89,Autumn,8,Industrial,0,998.31
16.8,75,Winter,18,Residential,0,430.16
1.6,77,Spring,23,Residential,0,540.93
18.8,23,Spring,16,Commercial,1,689.2
21.1,23,Autumn,10,Residential,0,508.55
20.6,39,Spring,8,Commercial,0,711.23
25.8,29,Winter,9,Residential,0,339.92
23.3,43,Summer,17,Industrial,1,855.66
19.6,45,Summer,19,Residential,0,521.63
14.3,56,Spring,12,Residential,1,569.35
-1.6,73,Autumn,7,Residential,0,453.43
19.3,40,Autumn,6,Commercial,0,660.69
17.1,93,Autumn,16,Industrial,0,946.39
17.7,57,Autumn,20,Residential,0,569.36
2.2,65,Autumn,22,Commercial,0,675.05
4.2,23,Spring,14,Industrial,0,752.04
25.5,79,Summer,19,Commercial,1,870.46
14.6,76,Summer,14,Commercial,1,767.78
21.8,64,Spring,0,Industrial,1,837.32
15.3,39,Autumn,13,Residential,0,497.68
15.3,36,Spring,4,Commercial,0,618.74
24.4,90,Summer,10,Commercial,0,847.13
9.8,23,Winter,15,Residential,1,468.81
16.0,33,Spring,1,Residential,1,521.27
10.4,22,Autumn,7,Industrial,0,721.88
10.7,99,Summer,10,Industrial,0,854.53
11.9,77,Summer,17,Industrial,0,830.55
17.2,74,Summer,2,Residential,0,518.46
10.2,23,Summer,0,Commercial,0,528.68
27.6,43,Autumn,10,Commercial,0,766.48
6.1,53,Winter,15,Industrial,1,655.43
13.1,49,Summer,17,Residential,0,559.3
10.6,38,Spring,15,Commercial,0,636.54
29.5,50,Winter,22,Industrial,1,609.48
17.0,79,Summer,9,Commercial,0,744.21
25.3,79,Winter,17,Commercial,0,541.02
0.1,38,Spring,5,Residential,0,406.58
17.7,68,Summer,18,Residential,0,654.16
23.9,82,Spring,3,Commercial,0,757.43
15.8,41,Autumn,12,Industrial,1,743.95
25.7,43,Summer,23,Residential,0,699.4
9.8,95,Summer,13,Commercial,0,719.21
29.1,49,Summer,2,Residential,0,631.95
38.0,77,Summer,9,Residential,0,752.73
11.4,50,Autumn,5,Residential,1,592.89
10.5,83,Summer,0,Commercial,1,673.2
29.5,38,Winter,22,Industrial,0,702.43
30.8,67,Summer,23,Industrial,1,975.89
9.8,64,Autumn,13,Industrial,0,809.75
10.8,74,Summer,7,Residential,1,571.5
12.2,74,Winter,18,Commercial,0,631.68
1.6,37,Autumn,13,Residential,1,484.09
5.8,82,Autumn,9,Industrial,1,690.07
5.0,66,Winter,16,Industrial,0,809.19
7.3,94,Winter,8,Commercial,0,637.74
14.7,76,Winter,5,Residential,1,465.73
17.3,64,Winter,10,Industrial,1,613.19
30.5,52,Winter,6,Commercial,0,496.96
5.0,36,Autumn,16,Residential,1,533.53
24.8,89,Autumn,0,Residential,0,570.91
12.9,23,Summer,21,Industrial,0,885.07
14.5,39,Summer,4,Industrial,0,766.8
21.7,66,Spring,8,Residential,0,604.54
3.8,34,Summer,17,Residential,1,510.45
18.8,89,Summer,23,Industrial,0,1035.81
16.7,66,Winter,20,Residential,1,502.96
19.9,97,Winter,1,Industrial,0,757.36
17.9,94,Summer,10,Residential,0,636.4
39.6,28,Spring,5,Industrial,0,949.94
8.6,35,Winter,7,Commercial,0,517.34
9.7,88,Summer,3,Industrial,0,818.04
8.8,80,Summer,17,Industrial,0,825.88
9.4,29,Autumn,10,Commercial,0,619.43
8.6,69,Spring,4,Residential,0,488.96
26.9,22,Autumn,14,Commercial,0,770.89
29.2,96,Spring,17,Industrial,0,1051.4
9.3,89,Winter,1,Residential,1,459.37
6.7,70,Spring,21,Commercial,1,715.65
19.7,38,Summer,10,Residential,0,535.87
9.5,61,Summer,12,Residential,0,422.51
21.3,54,Spring,3,Commercial,0,717.26
17.0,65,Spring,21,Residential,1,660.88
-0.2,45,Spring,6,Commercial,0,551.36
30.5,88,Autumn,10,Industrial,0,1075.97
33.0,83,Spring,21,Residential,0,833.33
8.9,56,Winter,23,Industrial,0,753.25
11.1,68,Autumn,3,Industrial,0,778.0
17.9,40,Autumn,14,Residential,1,636.74
18.3,93,Spring,0,Commercial,0,724.79
21.6,83,Winter,22,Residential,0,481.05
35.1,24,Autumn,2,Industrial,0,904.97
13.2,89,Summer,13,Industrial,0,898.62
7.0,23,Autumn,5,Commercial,1,536.14
1.2,58,Spring,17,Residential,0,500.13
7.7,54,Winter,0,Industrial,1,567.9
14.7,20,Spring,5,Industrial,0,787.43
32.9,43,Summer,5,Industrial,0,909.76
9.8,76,Summer,20,Commercial,1,745.84
17.2,89,Summer,15,Industrial,0,902.11
14.8,60,Spring,4,Industrial,1,752.24
26.9,73,Autumn,16,Residential,0,719.4
40.0,65,Spring,9,Residential,1,807.5
9.7,79,Winter,20,Industrial,0,748.22
10.1,79,Autumn,17,Industrial,0,882.2
25.4,76,Summer,6,Residential,1,675.97
21.8,50,Spring,2,Commercial,1,695.27
33.5,43,Summer,12,Commercial,1,838.46
20.8,55,Summer,14,Commercial,1,795.72
11.4,49,Winter,19,Commercial,1,577.5
20.9,43,Autumn,18,Commercial,0,754.39
26.1,49,Winter,2,Commercial,0,501.43
23.2,26,Winter,3,Commercial,0,456.11
20.1,54,Winter,4,Commercial,0,525.87
25.7,74,Summer,0,Residential,0,648.96
26.7,33,Winter,3,Commercial,0,448.27
28.8,29,Winter,11,Commercial,0,381.65
21.5,99,Autumn,23,Commercial,0,837.96
13.3,35,Autumn,9,Industrial,0,831.16
16.5,73,Winter,22,Residential,0,463.49
27.1,96,Autumn,20,Residential,0,730.63
6.8,89,Autumn,19,Residential,1,658.9
18.7,63,Winter,23,Commercial,1,596.06
11.1,92,Summer,12,Commercial,0,662.02
15.3,64,Winter,22,Industrial,0,708.24
27.8,75,Autumn,13,Residential,0,699.46
16.9,76,Summer,22,Commercial,0,785.19
15.5,40,Spring,4,Residential,0,543.64
1.4,87,Summer,3,Industrial,0,731.7
22.5,69,Autumn,13,Industrial,0,926.21
21.5,52,Summer,9,Industrial,0,859.46
36.6,26,Winter,16,Residential,1,374.18
11.9,89,Spring,9,Commercial,1,657.94
17.2,34,Spring,6,Commercial,0,651.03
17.5,51,Spring,15,Industrial,0,874.94
30.8,94,Autumn,0,Commercial,0,833.31
14.0,39,Autumn,16,Industrial,0,898.99
17.8,34,Spring,20,Residential,1,688.4
21.1,67,Summer,8,Industrial,0,878.77
16.9,90,Spring,5,Residential,1,588.88
10.5,40,Summer,18,Industrial,0,813.02
16.9,61,Summer,12,Commercial,1,736.0
25.7,45,Autumn,2,Commercial,0,705.29
4.7,33,Summer,6,Industrial,1,606.77
16.3,76,Spring,21,Commercial,0,825.88
8.0,56,Autumn,8,Commercial,0,622.27
27.0,77,Winter,21,Commercial,0,615.37
-0.2,40,Winter,4,Residential,0,348.49
9.4,88,Autumn,9,Commercial,1,691.49
18.8,22,Spring,22,Residential,1,621.31
30.7,56,Winter,16,Industrial,1,586.34
14.3,68,Winter,11,Commercial,0,602.06
9.4,38,Summer,22,Commercial,1,628.53
33.8,31,Summer,15,Commercial,0,835.9
0.5,80,Spring,2,Industrial,0,721.35
-7.0,60,Autumn,21,Residential,0,430.44
19.4,52,Spring,8,Residential,0,554.95
10.0,69,Autumn,14,Commercial,0,715.52
4.8,87,Winter,4,Industrial,0,708.71
22.1,90,Summer,22,Industrial,0,1034.53
17.4,52,Spring,12,Industrial,1,784.34
9.4,43,Spring,13,Industrial,0,751.84
2.2,80,Autumn,19,Industrial,0,834.01
23.7,80,Autumn,14,Residential,0,659.63
21.5,47,Spring,15,Residential,0,551.26
14.0,77,Autumn,22,Residential,0,625.47
33.5,62,Spring,12,Commercial,0,889.2
4.3,60,Spring,16,Industrial,0,826.86
-0.3,58,Spring,22,Commercial,0,611.25
8.1,68,Winter,7,Industrial,0,718.16
14.5,36,Autumn,20,Residential,1,611.52
17.4,89,Summer,1,Commercial,0,771.39
12.6,89,Summer,4,Residential,0,525.99
18.5,84,Autumn,5,Industrial,1,800.06
2.5,93,Spring,11,Industrial,0,778.46
29.4,24,Summer,17,Industrial,0,895.73
14.2,21,Summer,21,Residential,1,596.53
26.2,41,Autumn,21,Industrial,0,1003.14
18.4,76,Summer,0,Residential,0,555.25
19.6,85,Spring,16,Commercial,0,771.84
20.7,93,Autumn,10,Industrial,0,950.71
19.5,35,Spring,9,Industrial,0,862.17
21.4,70,Summer,18,Industrial,0,943.51
28.3,58,Summer,13,Commercial,0,857.51
17.0,95,Spring,9,Industrial,0,890.13
22.1,59,Winter,14,Residential,0,391.69
14.1,57,Summer,18,Residential,0,579.18
29.4,79,Winter,3,Industrial,0,683.49
8.2,78,Summer,1,Industrial,0,788.02
33.0,29,Winter,8,Commercial,0,421.15
14.6,83,Winter,9,Commercial,1,651.44
0.7,82,Winter,10,Commercial,0,604.52
16.3,68,Spring,13,Industrial,0,887.71
8.2,83,Winter,6,Commercial,0,600.6
23.4,51,Winter,22,Commercial,0,548.6
8.5,26,Winter,14,Residential,1,439.71
10.5,40,Summer,21,Commercial,0,657.68
-3.9,39,Winter,18,Residential,1,510.77
10.5,45,Summer,21,Residential,0,527.22
-9.2,87,Winter,14,Commercial,1,662.96
-0.8,34,Winter,23,Residential,0,413.2
22.6,98,Spring,7,Industrial,1,850.93
22.9,33,Summer,10,Industrial,0,831.75
19.3,46,Winter,8,Commercial,0,491.08
5.3,59,Summer,14,Industrial,0,709.69
14.5,77,Summer,0,Residential,0,522.29
15.0,47,Autumn,0,Industrial,1,694.47
3.4,45,Spring,18,Commercial,0,621.23
30.0,82,Spring,2,Commercial,0,822.34
23.8,85,Spring,9,Residential,1,751.61
12.8,44,Autumn,7,Commercial,0,724.23
15.3,22,Autumn,14,Industrial,1,765.53
17.1,91,Spring,9,Commercial,1,745.71
-5.4,63,Autumn,0,Residential,0,336.5
12.5,61,Autumn,17,Commercial,1,735.56
8.2,25,Autumn,1,Industrial,0,656.6
5.0,58,Spring,18,Residential,0,489.54
12.2,71,Spring,12,Industrial,0,844.96
33.0,42,Spring,21,Residential,0,728.52
21.4,69,Autumn,0,Commercial,1,743.12
9.3,62,Spring,1,Residential,1,509.06
20.7,38,Autumn,15,Residential,0,570.17
